Relative Time	Area	Annotations
00:00:56	0.100213	
00:01:56	0.110606	
00:02:56	0.105503	
00:03:56	0.13571	tempo 
00:04:56	0.1611	
00:05:56	0.162784	
00:06:56	0.161655	
00:07:56	0.166202	
00:08:56	0.170155	
00:09:56	0.167186	
00:10:56	0.152217	
00:11:57	0.169826	
00:12:56	0.172537	
00:13:56	0.17586	
00:14:56	0.171018	
00:15:57	0.150675	
00:16:57	0.178283	
00:17:56	0.172805	
00:18:56	0.176361	
00:19:57	0.183403	
00:20:56	0.175988	
00:21:56	0.177028	
00:22:56	0.177376	
00:23:56	0.183239	
00:24:56	0.193095	
00:25:56	0.193316	
00:26:55	0.19287	
00:27:56	0.191607	
00:28:56	0.197755	
00:29:56	0.193604	
00:30:56	0.189058	
00:31:57	0.203458	
00:32:56	0.204939	
00:33:56	0.201413	
00:34:56	0.206635	
00:35:56	0.210589	
00:36:56	0.209946	
00:37:56	0.207477	
00:38:56	0.209527	
00:39:56	0.189894	
00:40:56	0.213931	
00:41:55	0.220536	
00:42:56	0.214471	
00:43:55	0.214694	
00:44:56	0.221287	
00:45:56	0.222763	
00:46:57	0.215677	
00:47:57	0.226467	
00:48:56	0.221049	
00:49:57	0.220589	
00:50:56	0.227916	
00:51:55	0.227562	
00:52:56	0.23034	
00:53:56	0.218068	
00:54:55	0.232954	
00:55:56	0.237091	
00:56:56	0.232665	
00:57:56	0.239994	
00:58:56	0.238431	
00:59:56	0.233764	
01:00:56	0.235564	
01:01:56	0.239262	
01:02:56	0.243179	
01:03:56	0.241141	
01:04:56	0.238184	
01:05:56	0.247485	
01:06:56	0.253112	
01:07:56	0.258928	
01:08:55	0.257656	
01:09:56	0.254034	
01:10:56	0.257947	
01:11:56	0.261962	
01:12:56	0.25991	
01:13:56	0.256347	
01:14:57	0.260663	
01:15:56	0.263032	
01:16:55	0.255836	
01:17:56	0.262032	
01:18:56	0.261124	
01:19:56	0.265139	
01:20:57	0.268087	
01:21:56	0.265197	
01:22:56	0.269101	
01:23:56	0.272703	
01:24:56	0.266439	
01:25:55	0.274654	
01:26:56	0.276175	
01:27:56	0.260824	
01:28:56	0.277158	
01:29:56	0.272168	
01:30:56	0.272867	
01:31:56	0.272192	
01:32:56	0.273661	
01:33:56	0.28305	
01:34:55	0.28227	
01:35:56	0.280004	
01:36:56	0.28312	
01:37:56	0.283794	
01:38:56	0.286081	
01:39:57	0.292686	
01:40:56	0.287274	
01:41:56	0.292845	
01:42:56	0.288274	
01:43:54	0.2833	
01:44:56	0.291449	
01:45:56	0.295166	
01:46:56	0.289794	
01:47:56	0.292799	
01:48:56	0.289124	
01:49:57	0.29634	
01:50:56	0.295077	
01:51:57	0.293367	
01:52:56	0.30065	
01:53:55	0.296285	
01:54:56	0.296836	
01:55:56	0.295018	
01:56:56	0.302945	
01:57:56	0.305179	
01:58:56	0.304475	
01:59:56	0.299066	
02:00:56	0.307814	
02:01:56	0.305149	
02:02:57	0.304037	
02:03:56	0.295298	
02:04:55	0.30578	
02:05:57	0.30174	
02:06:56	0.304759	
02:07:56	0.302188	
02:08:56	0.302924	
02:09:56	0.30613	
02:10:56	0.301797	
02:11:56	0.306334	
02:12:56	0.303811	
02:13:56	0.315329	
02:14:56	0.305615	
02:15:56	0.308427	
02:16:57	0.308646	
02:17:57	0.305778	
02:18:55	0.311929	
02:19:56	0.311567	
02:20:56	0.310042	
02:21:56	0.312531	
02:22:56	0.302111	
02:23:56	0.31643	
02:24:56	0.316315	
02:25:55	0.311758	
02:26:56	0.316038	
02:27:56	0.317083	
02:28:56	0.316308	
02:29:55	0.311948	
02:30:56	0.321784	
02:31:56	0.3154	
02:32:55	0.313901	
02:33:56	0.317098	
02:34:56	0.316785	
02:35:56	0.313222	
02:36:56	0.319278	
02:37:56	0.317031	
02:38:57	0.319877	
