Relative Time	Area	Annotations
00:00:55	-10.0119	
00:01:55	-10.0822	
00:02:55	-10.081	
00:03:55	-10.0758	
00:04:55	-9.88931	
00:05:55	-9.88083	
00:06:55	-9.86806	tempo 
00:07:55	-9.87799	
00:08:55	-9.88449	
00:09:55	-9.87339	
00:10:56	-9.8946	
00:11:55	-9.86935	
00:12:56	-9.87371	
00:13:55	-9.88998	
00:14:56	-9.88654	
00:15:55	-9.86642	
00:16:55	-9.86053	
00:17:55	-9.84682	
00:18:55	-9.86398	
00:19:55	-9.86243	
00:20:55	-9.84282	
00:21:55	-9.849	
00:22:55	-9.8458	
00:23:55	-9.84385	
00:24:55	-9.83526	
00:25:55	-9.85682	
00:26:55	-9.82524	
00:27:55	-9.83246	
00:28:55	-9.82091	
00:29:55	-9.80873	
00:30:55	-9.8069	
00:31:55	-9.81502	
00:32:55	-9.80211	
00:33:55	-9.80166	
00:34:55	-9.80095	
00:35:55	-9.80438	
00:36:55	-9.77722	
00:37:55	-9.77903	
00:38:55	-9.77886	
00:39:55	-9.7877	
00:40:55	-9.7851	
00:41:55	-9.78336	
00:42:55	-9.76514	
00:43:55	-9.76718	
00:44:55	-9.74028	
00:45:55	-9.75595	
00:46:55	-9.75558	
00:47:55	-9.76136	
00:48:55	-9.73766	
00:49:55	-9.7244	
00:50:55	-9.72511	
00:51:55	-9.73434	
00:52:55	-9.72345	
00:53:55	-9.71762	
00:54:55	-9.71349	
00:55:55	-9.71158	
00:56:55	-9.72677	
00:57:55	-9.70833	
00:58:54	-9.70647	
00:59:55	-9.70458	
01:00:55	-9.6983	
01:01:55	-9.7003	
01:02:55	-9.69037	
01:03:55	-9.69779	
01:04:55	-9.68606	
01:05:56	-9.68483	
01:06:55	-9.68303	
01:07:55	-9.67358	
01:08:55	-9.67236	
01:09:55	-9.65171	
01:10:55	-9.66225	
01:11:55	-9.66686	
01:12:55	-9.67191	
01:13:55	-9.65422	
01:14:55	-9.65735	
01:15:55	-9.6343	
01:16:55	-9.65381	
01:17:55	-9.66415	
01:18:55	-9.65756	
01:19:55	-9.63926	
01:20:55	-9.63076	
01:21:55	-9.6322	
01:22:55	-9.64221	
01:23:55	-9.64102	
01:24:55	-9.63634	
01:25:55	-9.61039	
01:26:55	-9.6287	
01:27:55	-9.6207	
01:28:55	-9.61872	
01:29:55	-9.60864	
01:30:55	-9.60829	
01:31:55	-9.60069	
01:32:55	-9.6067	
01:33:55	-9.60222	
01:34:55	-9.59054	
01:35:55	-9.58831	
01:36:55	-9.60321	
01:37:55	-9.59879	
01:38:55	-9.59053	
01:39:55	-9.58599	
01:40:55	-9.57896	
01:41:55	-9.56787	
01:42:55	-9.58954	
01:43:55	-9.57358	
01:44:55	-9.58396	
01:45:55	-9.54957	
01:46:55	-9.56685	
01:47:55	-9.56644	
01:48:55	-9.57857	
01:49:55	-9.56015	
01:50:56	-9.57058	
01:51:55	-9.55335	
01:52:55	-9.53336	
01:53:55	-9.56522	
01:54:55	-9.55358	
01:55:55	-9.54631	
01:56:55	-9.53765	
01:57:55	-9.5314	
01:58:55	-9.53188	
01:59:55	-9.53534	
02:00:55	-9.5301	
02:01:55	-9.52969	
02:02:55	-9.5256	
02:03:55	-9.54017	
02:04:55	-9.51949	
02:05:55	-9.52471	
02:06:55	-9.53931	
02:07:56	-9.5281	
02:08:55	-9.4975	
02:09:55	-9.51458	
02:10:55	-9.51378	
02:11:55	-9.52155	
02:12:55	-9.5187	
02:13:55	-9.51235	
02:14:55	-9.50071	
02:15:55	-9.49624	
02:16:55	-9.49744	
02:17:55	-9.50368	
02:18:55	-9.49875	
02:19:55	-9.5041	
02:20:55	-9.50341	
02:21:55	-9.48467	
02:22:55	-9.4808	
02:23:55	-9.49007	
02:24:55	-9.48978	
02:25:55	-9.48992	
02:26:55	-9.49524	
02:27:54	-9.47496	
02:28:55	-9.49133	
02:29:55	-9.50789	
02:30:54	-9.47536	
02:31:55	-9.47849	
02:32:55	-9.49936	
02:33:55	-9.50481	
02:34:55	-9.48327	
02:35:55	-9.49831	
02:36:55	-9.49664	
02:37:55	-9.50425	
02:38:55	-9.49386	
02:39:55	-9.49582	
02:40:55	-9.5073	
02:41:55	-9.48464	
02:42:55	-9.49188	
02:43:55	-9.48761	
02:44:55	-9.49145	
02:45:55	-9.4767	
02:46:55	-9.50293	
02:47:55	-9.49951	
02:48:55	-9.48306	
02:49:55	-9.49095	
02:50:55	-9.48719	
02:51:55	-9.48194	
02:52:55	-9.49452	
02:53:55	-9.47467	
02:54:55	-9.48818	
02:55:56	-9.48602	
02:56:55	-9.47481	
02:57:56	-9.49294	
02:58:55	-9.48548	
02:59:55	-9.48212	
03:00:55	-9.49002	
03:01:55	-9.47266	
03:02:55	-9.48553	
03:03:56	-9.47688	
03:04:54	-9.48513	
03:05:56	-9.48282	
03:06:55	-9.48581	
03:07:55	-9.47707	
03:08:55	-9.48054	
03:09:55	-9.48419	
03:10:55	-9.47933	
03:11:54	-9.4733	
03:12:55	-9.49851	
03:13:55	-9.48482	
03:14:55	-9.48294	
03:15:55	-9.47845	
03:16:55	-9.48652	
03:17:54	-9.48357	
03:18:55	-9.47824	
03:19:55	-9.48633	
03:20:55	-9.48041	
03:21:55	-9.46859	
03:22:55	-9.48288	
03:23:55	-9.47847	
03:24:55	-9.49064	
03:25:56	-9.49146	
03:26:55	-9.47198	
03:27:55	-9.47508	
03:28:55	-9.47833	
03:29:55	-9.4916	
03:30:56	-9.46176	
03:31:55	-9.47328	
03:32:56	-9.47222	
03:33:55	-9.48195	
03:34:55	-9.48487	
03:35:55	-9.47749	
03:36:55	-9.46041	
03:37:56	-9.46202	
03:38:55	-9.47172	
03:39:55	-9.45387	
03:40:55	-9.45916	
03:41:55	-9.46993	
03:42:56	-9.47455	
03:43:55	-9.47197	
03:44:56	-9.47711	
03:45:56	-9.45808	
03:46:55	-9.45968	
03:47:56	-9.45902	
03:48:56	-9.46015	
03:49:55	-9.46885	
03:50:55	-9.43942	
03:51:55	-9.4643	
03:52:56	-9.45517	
03:53:56	-9.45748	
03:54:55	-9.45025	
03:55:55	-9.46955	
03:56:55	-9.47298	
03:57:55	-9.46938	
03:58:55	-9.45744	
03:59:55	-9.43557	
04:00:55	-9.46416	
04:01:55	-9.44239	
04:02:55	-9.46581	
04:03:56	-9.45964	
04:04:55	-9.44679	
04:05:55	-9.4523	
04:06:56	-9.4727	
04:07:55	-9.45658	
04:08:55	-9.46216	
04:09:55	-9.44946	
04:10:55	-9.45351	
04:11:56	-9.44874	
04:12:56	-9.47246	
04:13:56	-9.4615	
04:14:55	-9.45214	
04:15:56	-9.44988	
04:16:55	-9.45858	
04:17:54	-9.44844	
04:18:56	-9.44282	
04:19:55	-9.452	
04:20:55	-9.45927	
04:21:56	-9.44101	
04:22:55	-9.44645	
04:23:55	-9.43877	
04:24:55	-9.45037	
04:25:54	-9.43931	
04:26:55	-9.43167	
04:27:55	-9.44133	
04:28:55	-9.428	
04:29:55	-9.42851	
04:30:56	-9.45506	
04:31:55	-9.44949	
04:32:55	-9.43945	
04:33:55	-9.44348	
04:34:55	-9.4501	
04:35:55	-9.42174	
04:36:55	-9.43879	
04:37:55	-9.42865	
04:38:54	-9.44735	
04:39:55	-9.4579	
04:40:55	-9.44232	
04:41:55	-9.44313	
04:42:55	-9.42944	
04:43:55	-9.45598	
04:44:56	-9.45678	
04:45:55	-9.43535	
04:46:55	-9.43997	
04:47:55	-9.45153	
04:48:56	-9.44158	
04:49:55	-9.43891	
04:50:55	-9.44651	
04:51:55	-9.43773	
04:52:55	-9.43502	
04:53:55	-9.44872	
04:54:55	-9.42462	
04:55:56	-9.44228	
04:56:55	-9.44904	
04:57:55	-9.43115	
