Relative Time	Area	Annotations
00:00:56	-0.184624	
00:01:57	-0.177686	
00:02:55	-0.189709	
00:03:56	-0.196581	
00:04:56	-0.210412	
00:05:56	-0.203128	
00:06:56	-0.169571	
00:07:56	-0.175569	
00:08:56	-0.171965	
00:09:56	-0.19905	
00:10:56	-0.185181	
00:11:56	-0.165376	
00:12:56	-0.182853	
00:13:56	-0.166811	
00:14:56	-0.169712	
00:15:55	-0.164041	
00:16:56	-0.159792	
00:17:56	-0.159427	
00:18:56	-0.184786	
00:19:56	-0.161418	
00:20:56	-0.164452	
00:21:56	-0.180118	
00:22:56	-0.159198	
00:23:56	-0.168636	
00:24:56	-0.159961	
00:25:56	-0.189038	
00:26:56	-0.157024	
00:27:56	-0.172647	
00:28:56	-0.183418	
00:29:56	-0.158265	
00:30:56	-0.175227	
00:31:56	-0.158048	
00:32:56	-0.15481	Sample 33 acquired at 00:32:56 
00:33:56	-0.13564	tempo 
00:34:56	-0.0772262	
00:35:56	-0.0774846	
00:36:56	-0.0671904	
00:37:56	-0.0646508	
00:38:56	-0.0627007	
00:39:56	-0.0643781	
00:40:56	-0.0641181	
00:41:56	-0.0576405	
00:42:56	-0.0543954	
00:43:58	-0.0593935	
00:44:57	-0.062147	
00:45:56	-0.043589	
00:46:56	-0.0509336	
00:47:56	-0.0469524	
00:48:56	-0.0365024	
00:49:56	-0.0467855	
00:50:56	-0.0250217	
00:51:56	-0.0478473	
00:52:57	-0.0191865	
00:53:56	-0.0179723	
00:54:56	-0.0249422	
00:55:56	-0.0113551	
00:56:56	-0.00314194	
00:57:56	-0.00412352	
00:58:56	-0.00746666	
00:59:56	0.00818111	
01:00:58	0.00937163	
01:01:56	0.0130572	
01:02:56	0.0120224	
01:03:56	0.0087951	
01:04:56	0.0143687	
01:05:56	0.00984988	
01:06:56	0.028063	
01:07:56	0.0162249	
01:08:56	0.0259399	
01:09:56	0.0366878	
01:10:56	0.0138051	
01:11:56	0.0371516	
01:12:56	0.0447917	
01:13:56	0.0355807	
01:14:56	0.0473144	
01:15:56	0.0518793	
01:16:56	0.0573218	
01:17:56	0.0593674	
01:18:56	0.0706663	
01:19:56	0.0701306	
01:20:56	0.0595537	
01:21:56	0.0736866	
01:22:56	0.0758823	
01:23:56	0.0673845	
01:24:56	0.0746222	
01:25:56	0.0831219	
01:26:56	0.0841909	
01:27:56	0.0886401	
01:28:57	0.0895558	
01:29:56	0.0966406	
01:30:56	0.0912744	
01:31:56	0.0943394	
01:32:56	0.106435	
01:33:55	0.0950537	
01:34:56	0.106584	
01:35:56	0.112118	
01:36:56	0.103098	
01:37:56	0.112631	
01:38:57	0.10703	
01:39:56	0.125858	
01:40:56	0.123266	
01:41:56	0.125756	
01:42:56	0.127247	
01:43:56	0.13223	
01:44:56	0.131051	
01:45:57	0.139436	
01:46:55	0.123567	
01:47:56	0.130067	
01:48:56	0.147203	
01:49:56	0.149246	
01:50:56	0.149089	
01:51:56	0.150114	
01:52:56	0.163887	
01:53:56	0.153904	
01:54:56	0.158688	
01:55:56	0.167523	
01:56:56	0.141529	
01:57:56	0.164679	
01:58:56	0.16668	
01:59:56	0.165568	
02:00:56	0.168912	
02:01:56	0.157457	
02:02:56	0.163228	
02:03:56	0.178502	
02:04:56	0.170604	
02:05:56	0.185151	
02:06:57	0.180128	
02:07:55	0.186476	
02:08:56	0.183434	
02:09:56	0.191089	
02:10:56	0.189586	
02:11:57	0.201299	
02:12:55	0.192783	Sample 133 acquired at 02:12:55 
02:13:56	0.19659	
02:14:56	0.200559	
02:15:56	0.197074	
02:16:56	0.198804	
02:17:56	0.19634	
02:18:56	0.196801	
02:19:56	0.210696	
02:20:56	0.208576	
02:21:56	0.214037	
02:22:56	0.215389	
02:23:56	0.213394	
02:24:56	0.214984	
02:25:56	0.212751	
02:26:56	0.202585	
02:27:56	0.217051	
02:28:56	0.21743	
02:29:56	0.213431	
02:30:56	0.221831	
02:31:56	0.222658	
02:32:56	0.22935	
02:33:56	0.231901	
02:34:56	0.232261	
02:35:56	0.229357	
02:36:56	0.237013	
02:37:56	0.230909	
02:38:56	0.240097	
02:39:56	0.235706	
02:40:56	0.238755	
02:41:56	0.239771	
02:42:56	0.233014	
02:43:56	0.242652	
02:44:56	0.243405	
02:45:57	0.23651	
02:46:55	0.240716	
02:47:57	0.238167	
02:48:56	0.244247	
02:49:56	0.257115	
02:50:56	0.247128	
02:51:56	0.260658	
02:52:56	0.246886	
02:53:56	0.258901	
02:54:57	0.261221	
02:55:56	0.24856	
02:56:56	0.270101	
02:57:56	0.248178	
02:58:56	0.244265	
02:59:57	0.258024	
03:00:56	0.269969	
03:01:57	0.26155	
03:02:56	0.261411	
03:03:56	0.274052	
03:04:56	0.268013	
03:05:56	0.269922	
03:06:56	0.274931	
03:07:56	0.273067	
03:08:57	0.280326	
03:09:56	0.267771	
03:10:57	0.275014	
03:11:56	0.26816	
03:12:56	0.278262	
03:13:56	0.278953	
03:14:56	0.275875	
03:15:56	0.279422	
03:16:56	0.269855	
03:17:57	0.281251	
03:18:56	0.273192	
03:19:56	0.285153	
03:20:56	0.293857	
03:21:56	0.265152	
03:22:56	0.286275	
03:23:56	0.285323	
03:24:56	0.268369	
03:25:57	0.28932	
03:26:56	0.272379	
03:27:56	0.304229	
03:28:56	0.290907	
03:29:56	0.286603	
03:30:57	0.294902	
03:31:56	0.285607	
03:32:56	0.292572	
03:33:56	0.293335	
03:34:56	0.295036	
03:35:56	0.297805	
03:36:56	0.288034	
03:37:56	0.292643	
03:38:56	0.291173	
03:39:56	0.282562	
03:40:56	0.295719	
03:41:56	0.293221	
03:42:56	0.29498	
03:43:56	0.28358	
03:44:57	0.295874	
03:45:55	0.294641	
03:46:56	0.287434	
03:47:56	0.297448	
03:48:56	0.302828	
03:49:56	0.290529	
03:50:56	0.301203	
03:51:56	0.286373	
03:52:57	0.29707	
03:53:56	0.299707	
03:54:56	0.282837	
03:55:56	0.304825	
03:56:57	0.289726	
03:57:56	0.296476	
03:58:56	0.300839	
03:59:57	0.292564	
04:00:57	0.307938	
