Relative Time	Area	Annotations
00:01:52	0.149	Experiment Paused Experiment Resumed 
00:02:52	0.167967	
00:04:27	0.197595	Experiment Paused Experiment Resumed tempo 
00:05:27	0.219178	
00:06:27	0.229122	
00:07:27	0.231106	
00:08:27	0.233	
00:09:27	0.241018	
00:10:28	0.248353	
00:11:27	0.24702	
00:12:27	0.241817	
00:13:27	0.255174	
00:14:28	0.253917	
00:15:27	0.259489	
00:16:27	0.262324	
00:17:28	0.263464	
00:18:28	0.260931	
00:19:27	0.269512	
00:20:27	0.276846	
00:21:27	0.27472	
00:22:27	0.285677	
00:23:27	0.277321	
00:24:28	0.289269	
00:25:27	0.280867	
00:26:27	0.28804	
00:27:28	0.288038	
00:28:27	0.294639	
00:29:28	0.30259	
00:30:27	0.30524	
00:31:27	0.307274	
00:32:27	0.312623	
00:33:27	0.313859	
00:34:27	0.311123	
00:35:27	0.31043	
00:36:26	0.309409	
00:37:27	0.314861	
00:38:27	0.315562	
00:39:27	0.312215	
00:40:27	0.320348	
00:41:27	0.324289	
00:42:27	0.326866	
00:43:27	0.327386	
00:44:27	0.331584	
00:45:27	0.331472	
00:46:27	0.327829	
00:47:27	0.33379	
00:48:27	0.336377	
00:49:27	0.332241	
00:50:27	0.335577	
00:51:27	0.330263	
00:52:27	0.338444	
00:53:27	0.339232	
00:54:27	0.345585	
00:55:27	0.344169	
00:56:27	0.345539	
00:57:27	0.340611	
00:58:27	0.343011	
00:59:27	0.348514	
01:00:27	0.349388	
01:01:27	0.347247	
01:02:27	0.341377	
01:03:27	0.35292	
01:04:27	0.361419	
01:05:27	0.35559	
01:06:27	0.359376	
01:07:27	0.356647	
01:08:27	0.355614	
01:09:27	0.353787	
01:10:27	0.362155	
01:11:27	0.358963	
01:12:27	0.360781	
01:13:27	0.360816	
01:14:27	0.36507	
01:15:27	0.3641	
01:16:27	0.35791	
01:17:27	0.370133	
01:18:27	0.361206	
01:19:27	0.362258	
01:20:27	0.361379	
01:21:27	0.364641	
01:22:27	0.373979	
01:23:27	0.371255	
01:24:27	0.367633	
01:25:27	0.367634	
01:26:27	0.364338	
01:27:27	0.364014	
01:28:27	0.36818	
01:29:27	0.374161	
01:30:27	0.371082	
01:31:28	0.373227	
01:32:27	0.374796	
01:33:27	0.369423	
01:34:27	0.367366	
01:35:26	0.369857	
01:36:27	0.371112	
01:37:27	0.377326	
01:38:27	0.374631	
01:39:27	0.375849	
01:40:27	0.37718	
01:41:27	0.371198	
01:42:27	0.369288	
01:43:27	0.378368	
01:44:27	0.374027	
01:45:27	0.3782	
01:46:27	0.377684	
01:47:27	0.375194	
01:48:27	0.376243	
01:49:27	0.376272	
01:50:28	0.375689	
01:51:27	0.372093	
01:52:27	0.374554	
01:53:27	0.376397	
01:54:27	0.372498	
01:55:27	0.37613	
01:56:27	0.378793	
01:57:27	0.382043	
01:58:27	0.380888	
01:59:27	0.377215	
02:00:27	0.369999	
02:01:27	0.380226	
02:02:27	0.378561	
02:03:27	0.375611	
02:04:27	0.378478	
02:05:27	0.373915	
02:06:27	0.377099	
02:07:27	0.381561	
02:08:27	0.380222	
02:09:27	0.379132	
02:10:27	0.379552	
02:11:27	0.377738	
02:12:27	0.376972	
02:13:27	0.374104	
02:14:27	0.376333	
02:15:27	0.374411	
02:16:27	0.379147	
02:17:28	0.375271	
02:18:27	0.372409	
02:19:27	0.37574	
02:20:27	0.374012	
02:21:27	0.376939	
02:22:27	0.380061	
02:23:27	0.378291	
02:24:27	0.379212	
02:25:27	0.376022	
02:26:27	0.38418	
02:27:28	0.375755	
02:28:26	0.382448	
02:29:27	0.378399	
02:30:27	0.379876	
02:31:27	0.370114	
02:32:27	0.371471	
02:33:27	0.380639	
02:34:27	0.375676	
02:35:27	0.381583	
02:36:27	0.382114	
02:37:28	0.378574	
02:38:27	0.385241	
02:39:27	0.378632	
02:40:27	0.380139	
02:41:28	0.375425	
02:42:27	0.381333	
02:43:27	0.370838	
02:44:28	0.377238	
02:45:27	0.383093	
02:46:27	0.374292	
02:47:26	0.377144	
02:48:27	0.375927	
02:49:27	0.37868	
02:50:27	0.377062	
02:51:27	0.373897	
02:52:27	0.378215	
02:53:27	0.374894	
02:54:27	0.372128	
02:55:28	0.37446	
02:56:27	0.376052	
02:57:27	0.374703	
02:58:27	0.374633	
02:59:27	0.372523	
03:00:27	0.374667	
03:01:27	0.375666	
03:02:28	0.369508	
03:03:28	0.380833	
03:04:27	0.370943	
03:05:27	0.376539	
03:06:27	0.3755	
03:07:27	0.374297	
03:08:27	0.378406	
03:09:27	0.369356	
