Relative Time	Area	Annotations
00:00:56	1.04885	tempo 
00:01:56	1.34589	
00:02:56	1.34153	
00:03:56	1.33489	
00:04:56	1.36105	
00:05:56	1.34849	
00:06:56	1.37016	
00:07:56	1.3666	
00:08:56	1.3833	
00:09:56	1.39375	
00:10:56	1.39745	
00:11:56	1.37239	
00:12:56	1.36741	
00:13:56	1.40178	
00:14:56	1.42661	
00:15:56	1.44591	
00:16:56	1.41933	
00:17:56	1.45692	
00:18:56	1.435	
00:19:56	1.43768	
00:20:56	1.47765	
00:21:56	1.46092	
00:22:56	1.45193	
00:23:56	1.50155	
00:24:56	1.50412	
00:25:56	1.51876	
00:26:56	1.52083	
00:27:56	1.51135	
00:28:56	1.54492	
00:29:55	1.53935	
00:30:56	1.55422	
00:31:56	1.56537	
00:32:56	1.57848	
00:33:56	1.58787	
00:34:56	1.58196	
00:35:56	1.60125	
00:36:56	1.5985	
00:37:56	1.60387	
00:38:56	1.62074	
00:39:56	1.62451	
00:40:56	1.62336	
00:41:56	1.6439	
00:42:56	1.6401	
00:43:56	1.61926	
00:44:55	1.65712	
00:45:56	1.66675	
00:46:56	1.68012	
00:47:56	1.64916	
00:48:56	1.69304	
00:49:56	1.70161	
00:50:56	1.69548	
00:51:56	1.70616	
00:52:56	1.7013	
00:53:56	1.71323	
00:54:56	1.7275	
00:55:56	1.74586	
00:56:56	1.73407	
00:57:56	1.74448	
00:58:56	1.74503	
00:59:56	1.75016	
01:00:56	1.75525	
01:01:56	1.76041	
01:02:56	1.76627	
01:03:56	1.77823	
01:04:56	1.7731	
01:05:56	1.76254	
01:06:56	1.79245	
01:07:56	1.80447	
01:08:56	1.80212	
01:09:56	1.78817	
01:10:56	1.80283	
01:11:56	1.82438	
01:12:56	1.80785	
01:13:56	1.82923	
01:14:56	1.82915	
01:15:56	1.83423	
01:16:56	1.84144	
01:17:56	1.81601	
01:18:56	1.84964	
01:19:56	1.83743	
01:20:56	1.83281	
01:21:56	1.84672	
01:22:56	1.85387	
01:23:56	1.86431	
01:24:56	1.87649	
01:25:56	1.886	
01:26:56	1.88743	
01:27:56	1.88929	
01:28:56	1.88927	
01:29:56	1.89457	
01:30:56	1.91147	
01:31:56	1.89815	
01:32:56	1.9041	
01:33:56	1.90038	
01:34:56	1.90789	
01:35:56	1.92223	
01:36:56	1.93469	
01:37:56	1.91904	
01:38:56	1.92808	
01:39:56	1.89219	
01:40:56	1.9371	
01:41:56	1.93013	
01:42:56	1.94369	
01:43:56	1.94522	
01:44:56	1.92935	
01:45:56	1.94324	
01:46:56	1.95689	
01:47:56	1.95451	
01:48:56	1.95471	
01:49:56	1.93669	
01:50:56	1.97558	
01:51:56	1.97267	
01:52:56	1.98392	
01:53:57	1.94299	
01:54:55	1.96743	
01:55:56	1.97172	
01:56:56	1.9682	
01:57:56	2.0006	
01:58:56	1.98966	
01:59:56	1.97557	
02:00:56	1.99785	
02:01:56	1.99499	
02:02:56	2.00641	
02:03:56	1.99823	
02:04:56	1.974	
02:05:56	1.99798	
02:06:56	2.0212	
02:07:56	2.01458	
02:08:56	2.0161	
02:09:56	2.01971	
02:10:56	2.02626	
02:11:56	1.98559	
02:12:56	2.02958	
02:13:56	2.02394	
02:14:56	2.02447	
02:15:56	2.02506	
02:16:56	2.00064	
02:17:57	2.03064	
02:18:55	2.03713	
02:19:56	2.04021	
02:20:56	2.00123	
02:21:56	2.03271	
02:22:56	2.03167	
02:23:56	2.04746	
02:24:56	2.04694	
02:25:56	2.05442	
02:26:56	2.02831	
02:27:56	2.04844	
02:28:56	2.06256	
02:29:56	2.04833	
02:30:56	2.04723	
02:31:56	2.01697	
02:32:56	2.05109	
02:33:56	2.03614	
02:34:56	2.06618	
02:35:56	2.06059	
02:36:56	2.04056	
02:37:56	2.04301	
02:38:56	2.05754	
02:39:56	2.05489	
02:40:56	2.0622	
02:41:56	2.05891	
02:42:56	2.06739	
02:43:56	2.06153	
02:44:56	2.06215	
02:45:56	2.06348	
02:46:56	2.06141	
02:47:56	2.06673	
02:48:56	2.07562	
02:49:56	2.06206	
02:50:56	2.04833	
02:51:56	2.08105	
02:52:56	2.07683	
02:53:56	2.04639	
02:54:56	2.06303	
02:55:56	2.07638	
02:56:56	2.07694	
02:57:56	2.06406	
02:58:56	2.05655	
02:59:56	2.08655	
03:00:56	2.07841	
03:01:56	2.0762	
03:02:56	2.04471	
03:03:56	2.04636	
03:04:56	2.05955	
03:05:56	2.07899	
03:06:56	2.06257	
03:07:56	2.05555	
03:08:56	2.06863	
03:09:56	2.06823	
03:10:56	2.06606	
03:11:56	2.0759	
03:12:56	2.07488	
03:13:56	2.03618	
03:14:57	2.06146	
03:15:55	2.07478	
03:16:56	2.07997	
03:17:56	2.06007	
03:18:55	2.08003	
03:19:56	2.07635	
03:20:56	2.06875	
03:21:56	2.07943	
03:22:56	2.06693	
03:23:56	2.06754	
03:24:56	2.07675	
03:25:56	2.07819	
03:26:56	2.05254	
03:27:56	2.0385	
03:28:56	2.07771	
03:29:55	2.07698	
03:30:56	2.07092	
03:31:56	2.07719	
03:32:56	2.04992	
03:33:56	2.07785	
03:34:56	2.0731	
03:35:56	2.0647	
03:36:56	2.07349	
03:37:56	2.04555	
03:38:56	2.06754	
03:39:56	2.07077	
03:40:56	2.07367	
03:41:56	2.02106	
03:42:56	2.0713	
03:43:56	2.07407	
03:44:56	2.0766	
03:45:56	2.06543	
03:46:56	2.03548	
03:47:56	2.06143	
03:48:56	2.08286	
03:49:56	2.04821	
03:50:56	2.06129	
03:51:56	2.06685	
03:52:56	2.06256	
03:53:56	2.06587	
03:54:56	2.06005	
03:55:55	2.05878	
03:56:56	2.04928	
03:57:56	2.05338	
03:58:56	2.06595	
03:59:56	2.05321	
04:00:56	2.05332	
04:01:56	2.0534	
04:02:56	2.05946	
04:03:56	2.06657	
04:04:56	2.06924	
04:05:56	2.01149	
04:06:56	2.03948	
