Relative Time	Peak at 764 cm-1	Annotations
00:03:11	0.0140923	allowing 10 mins mixing before starting reaction Experiment Paused Experiment Resumed 
00:04:11	0.0394889	
00:05:11	0.034991	
00:06:11	0.033886	
00:07:11	0.0333873	
00:08:12	0.0338461	
00:09:10	0.0334598	
00:10:11	0.0347348	Sample 8 acquired at 00:10:11 
00:11:12	0.0346513	tempo 
00:12:11	0.0356292	Sample 10 acquired at 00:12:11 
00:13:11	0.0366065	
00:14:11	0.0424401	
00:15:11	0.0385165	
00:16:11	0.0393642	
00:17:11	0.0405139	
00:18:11	0.0426961	
00:19:11	0.0416815	
00:20:12	0.0419871	
00:21:11	0.0421986	
00:22:11	0.0448468	Sample 20 acquired at 00:22:11 
00:23:14	0.0421883	
00:24:12	0.0443625	
00:25:12	0.0460911	
00:26:11	0.0488841	
00:27:11	0.0488374	
00:28:11	0.0499215	
00:29:11	0.0510501	
00:30:11	0.0513906	
00:31:11	0.051694	
00:32:11	0.0541573	
00:33:11	0.0540137	
00:34:11	0.0556552	
00:35:12	0.0591244	
00:36:10	0.0576281	
00:37:11	0.0588752	
00:38:11	0.0596734	
00:39:11	0.0602549	
00:40:11	0.0626308	
00:41:11	0.0631048	
00:42:11	0.0642717	
00:43:11	0.0657066	
00:44:11	0.0659178	
00:45:11	0.0661868	
00:46:11	0.0668378	
00:47:11	0.0688527	
00:48:11	0.0692791	
00:49:11	0.0709727	
00:50:11	0.070928	
00:51:11	0.0724743	
00:52:11	0.0746412	
00:53:11	0.0753479	
00:54:15	0.0757522	Sample 52 acquired at 00:54:15 
00:55:12	0.0770742	
00:56:12	0.0778501	
00:57:10	0.0773941	
00:58:11	0.0795894	
00:59:12	0.0796876	
01:00:11	0.0803058	Sample 58 acquired at 01:00:11 
01:01:12	0.080775	
01:02:12	0.0823281	
01:03:11	0.0841605	
01:04:11	0.0836141	
01:05:11	0.0852822	
01:06:10	0.0864696	
01:07:11	0.0864965	
01:08:10	0.087863	
01:09:11	0.0873258	
01:10:11	0.0889093	
01:11:11	0.0890603	
01:12:11	0.0917963	Sample 70 acquired at 01:12:11 
01:13:11	0.0918262	
01:14:11	0.0939848	
01:15:11	0.0929753	
01:16:11	0.094077	
01:17:11	0.0967606	
01:18:10	0.0960455	
01:19:11	0.0981739	
01:20:11	0.0980727	
01:21:11	0.0985983	
01:22:11	0.0983543	
01:23:11	0.101423	
01:24:11	0.100401	
01:25:11	0.101332	
01:26:11	0.102902	
01:27:12	0.102348	
01:28:10	0.101864	
01:29:10	0.102674	
01:30:11	0.102858	
01:31:11	0.104247	
01:32:11	0.105816	
01:33:12	0.108115	
01:34:11	0.106107	
01:35:11	0.107661	
01:36:11	0.108051	
01:37:11	0.107487	
01:38:11	0.109497	
01:39:12	0.110224	
01:40:10	0.10903	
01:41:11	0.110439	
01:42:11	0.11183	
01:43:11	0.111908	
01:44:11	0.111487	
01:45:11	0.110709	
01:46:11	0.112133	
01:47:11	0.113977	
01:48:11	0.115197	
01:49:11	0.114025	
01:50:11	0.11474	
01:51:11	0.11676	
01:52:11	0.116933	
01:53:11	0.116859	
01:54:11	0.116438	
01:55:11	0.118641	
01:56:11	0.119928	
01:57:11	0.118629	
01:58:11	0.118644	
01:59:11	0.119525	
02:00:11	0.120707	
02:01:11	0.119664	
02:02:11	0.12004	
02:03:10	0.121256	
02:04:14	0.123604	Sample 122 acquired at 02:04:14 
02:05:12	0.120959	
02:06:11	0.121706	Sample 124 acquired at 02:06:11 
02:07:12	0.122675	
02:08:12	0.121844	
02:09:12	0.124897	
02:10:13	0.123701	
02:11:12	0.124584	
02:12:11	0.12341	
02:13:12	0.123941	
02:14:12	0.125365	
02:15:11	0.127672	
02:16:12	0.127223	
02:17:12	0.126637	
02:18:12	0.126221	
02:19:12	0.126007	
02:20:11	0.12702	Sample 138 acquired at 02:20:11 
02:21:12	0.127663	
02:22:12	0.127901	
02:23:12	0.128615	
02:24:12	0.128846	
02:25:12	0.128794	
02:26:11	0.128763	
02:27:11	0.127684	
02:28:11	0.129073	
02:29:11	0.129867	
02:30:11	0.128559	
02:31:12	0.129514	
02:32:12	0.130366	
02:33:11	0.12872	
02:34:10	0.131599	
02:35:11	0.130073	
02:36:13	0.130268	
02:37:12	0.129896	
02:38:13	0.129999	
02:39:12	0.130314	
02:40:12	0.134675	
02:41:12	0.132287	
02:42:12	0.131587	
02:43:11	0.131268	
02:44:11	0.132265	
02:45:11	0.131568	
02:46:11	0.131444	
02:47:11	0.131619	
02:48:11	0.134805	
02:49:11	0.131836	
02:50:11	0.133911	
02:51:11	0.132946	
02:52:11	0.132632	
02:53:12	0.133282	
02:54:12	0.132449	
02:55:11	0.132943	
02:56:11	0.133841	
02:57:12	0.13206	
